rec_id,stage,public
EfNsawqmPI,W,False
a2jxl6WyCc,W,False
fhVnkB01cY,N2,True
rh5dX5NwQY,N2,False
vjLdqDO2Um,R,True
ilp3L5LyOS,R,False
k45XWVcDiq,R,True
BvC6HsKj2P,W,False
T1iVuIacWY,N2,False
EJzUfdmRDC,N2,False
3hTrC5BwiK,N2,True
f8eRM2ZX6D,N2,False
b6rKMfnAz9,N2,True
v4DoxkL72b,N2,False
gFODI1cLXY,N3,False
edWvjWWspB,N3,False
lyGbwCUJkF,N3,True
Tbx5vf7fva,N3,True
iUyE8gWhjv,N3,False
o7nGkcZOhl,N2,True
XWnPjHWqMl,N2,True
zF7PooYIER,R,False
UuRxtHZnTI,R,False
5IAVFNdZG0,R,False
z3370zOSXk,N2,False
Bcg4mQMnYf,W,False
cRdIPuV7mU,W,False
pF5XWSOFqZ,N2,True
lHEaKF851N,N2,False
XoYKOrlvNR,N2,False
bYKlb1H5Rb,N2,True
R7Rxp6HYjg,N2,False
2V2hLD73UD,N2,False
MCEBib8bry,N2,False
SXLaa95OmF,N2,False
QBhlxPjXeg,N2,False
2Kjvoi2mZj,N2,True
093l7Fj8rz,N2,False
8yWwZXvWv8,R,False
OF8j1WZg64,R,False
9gjLPUPq0J,N2,False
kHyOj7mdXa,N2,False
OGeBSjt5Hr,N2,False
feUH3s3yFT,W,False
4mqgBzrVja,W,True
Ppvya90bOq,W,False
KG75vsdoe9,W,True
DG5iKeqygB,N3,False
uW5ysr2FOT,N3,False
dOTjVBeLy9,N3,False
3n67oZ7eHo,N3,False
ca2XW4pOis,N3,False
4YpkiypGfE,N3,False
XkPjeXdd48,N3,True
tf87xEH9lS,N3,False
buA5ZiEin7,N3,True
lnOybywbWl,N3,False
svzL85Qxps,N3,False
4rPk7sT9AW,N2,True
yVIhU2W1OF,N2,False
9VZzl7OUDx,N3,False
EpKfosKuO0,N3,False
GN8XAZ0jQC,N3,False
D8IFqe3Vxw,N2,False
JjNDJbCIEq,N2,True
FuvNVCpCWy,N2,False
eyHcxVf2oC,N2,False
ZAem084iJK,N2,True
tPNvsQXX4D,N2,False
skDJ1blhu4,W,True
l65Q3L7afX,N2,True
ZWsaDmiW9e,N3,False
3H9uorrS6F,N3,True
XZuqeqa7iZ,N2,True
hEbR2pDHth,N2,False
mTqnHIdcSc,R,False
DOoIFRXV7x,N2,False
pxq7ITbVdT,N2,False
O18d4YQkrd,N2,True
0gnzaJfBcd,N2,False
pfOusYYd4C,N2,False
2abY70G9yO,N2,False
pKJ0zXa75n,N2,False
vGknrGgjoQ,N2,False
jO0Gquik6O,N2,False
TmbLy3leHZ,N2,False
pAP28u6ck2,N2,False
iJrztDMbh6,N2,True
lAdhqJKf2k,N2,False
CrQcIOJohI,N2,False
9hmIs9SYh2,R,False
Ol4pDdVOqz,R,False
LkvsfWdiAt,R,False
P693q1CM66,N1,False
H39zwpcCJb,R,False
YhygMdeX6W,R,False
wJpuq7uFUZ,R,True
Vj1kTGAWwy,N2,False
yPJf6cJXQx,N2,False
pe6zzrd0Ob,N2,False
0sIY4NOshp,N2,False
hZILCasNms,N2,False
ed08bQM0mc,N2,False
XeHtmfMbQm,R,False
6OzSlu26Lr,W,True
PZf0ZQ7JzZ,N2,False
isARx3RrM9,N2,False
njIsaMRZQd,N3,True
mGhGKh6l25,N3,False
8ou7URCBY5,N3,False
qhCAoADcF7,N3,False
utKcQZ49RQ,N3,False
iThOZJfMvG,N3,False
L8jPDS6ZwT,N3,False
U5GA198ME8,N3,False
s6BDZVIzYT,N3,False
ciLaeOHyV7,N3,True
oPDXTMP4nw,N3,True
58UL9tXMQU,R,False
dBZuSXltn9,N2,True
xRDIMDlRii,N2,False
uSvO5L0ZLz,N3,False
XiXFJ5lHYD,N3,True
XflOUNv1a7,N2,False
rMXzFmTLet,N2,False
5pdGOvDDng,N2,False
gIzQYu6Bhk,N3,True
iBqZSYsR09,N3,True
UzFh1q3bdK,N3,False
5KDd3iiGnb,N3,False
UwsKP9ThY4,N3,True
4fJ6G8aAu9,W,True
Ud62MKEyCy,R,False
VDiCkyFQKP,N2,False
GP4OHeygD8,N2,False
WZr54Cf8sb,N2,True
mbKDjQV7ty,N2,False
ZiHJ6M3r2G,N2,False
dYxKM1L72d,N1,False
LmsfLpQHm7,R,True
KwauKtuWHl,R,True
onWkrmTYvC,R,True
W8c7FZ4Jqh,N2,False
LNlUKzBA3F,N2,True
qibrT2RSeT,N2,False
COrULV8DEu,N3,False
iYtNjNmZYZ,N3,True
qaFcYrifoi,W,False
7rO4TURn1q,N2,False
9JJE1IiXSZ,R,True
sf3HdV653B,R,True
GXjtUFVvmH,R,False
wvFRCck1NQ,R,True
K351yRfp7F,R,True
FW0r6WUv2V,N2,False
6FleErgyo8,W,False
z3cWB9fx61,W,False
53CyPau44R,N2,False
prj1MCKQQT,N2,False
oGgudutlsg,N3,False
NlAnYmhOgl,N3,False
nh3YhkJPpG,N2,False
501jZ2QJDF,W,False
mKKxb4gi1J,W,False
sTgkumlLRd,W,False
6rjJqScu9K,N2,False
1YbuJ9sooB,N1,False
xkyuzxlbBF,R,False
5eJZOH9VPl,R,False
oHAU4L7T66,R,False
8ZWPAXIO5s,N2,False
wlCGovn9l8,N2,False
TxIhiizuTW,N3,False
fIh1BTpOE8,N3,True
lsSMAABELS,N3,False
MVq9HQOuMa,N3,False
72Mv4BtEFa,N3,False
lwY3pp4cp6,N3,True
ccZMQg2Cny,N3,True
EBV5i4xmy8,N3,False
x1WOlBAbFo,N2,False
eG8yLOEI0a,W,False
SLZLKOeP12,N2,True
DgbTtzso7A,R,False
tT6YQgSNTW,R,False
LAmVwgWcLR,R,False
TI4vDArBTY,N2,False
7OeCl2w3F4,N2,False
iXA38rwFD6,N2,False
7YBERjgJjM,N2,False
VrDeIExmbC,N2,True
dQl4xY04vu,N2,True
uTD5BkedZ4,W,False
VZohsOPla1,W,False
n7iO93zdRy,W,False
MYsD0Tl7eu,W,False
gr6HrbgT64,W,True
ql06laDJqZ,W,False
eRUYV324sh,W,False
8IgJgGhjyW,N2,True
4wskl2Ba2L,N2,False
On6IW593n0,N2,True
xiOXzQL58Y,N2,False
hDvHfVPWW7,N2,False
w83FVTulaw,N2,True
onKOo446IX,N3,False
yFI77KQolN,N2,False
0Zyh0FvuTK,R,False
Y9ibiemfbY,R,False
78TZw8Odu0,R,True
605EqjUk2M,R,False
maPssbVb80,N2,True
4EZ6EtMV1z,N2,False
8KPrnHvN56,N2,True
Gf4ieX1hyT,N2,True
FQnPE4kpYi,N2,False
oxHS26k8jh,N2,True
hEmmmpKf2Q,N2,False
01mvUOZPzD,N2,False
QC1WES0r2J,N3,False
Um7epnkk8C,W,True
X8hHlZqaFO,W,False
hz8uPOslw4,W,False
18Ko3It1FH,W,False
7khg2HYbKs,W,False
XAoqupoRgg,W,True
KgyB3qH9nD,N2,False
HLr00pzqMs,N2,False
osyZn3PhuD,N2,False
e9Q29dbTVu,N2,False
VC7gFkpVkz,N3,False
Wak38tC0H9,N2,True
LXqHTFmtDZ,N2,False
58M9ORpkdD,N2,False
liJ6V0hQOa,N2,False
FO9zkku3B7,N2,False
ocGh3lm1Jl,N3,False
INXP6mTGXZ,N3,False
GOzqO4QUk5,N3,False
b6p1pboCNH,N2,False
dobFyVdTbA,N2,False
72Qv8DCqBw,R,True
AEZkJGvpzd,R,False
G1Q0ofdD3s,R,False
GzZEI0bslU,R,True
tCFrVHy2Fd,R,False
mveRnmNAxw,N2,True
mNXFjsoVyw,N3,False
1RRoSNSuSo,N2,False
tMI33hqFaj,W,False
acP7AWS62L,N2,True
KKnkjUA1TN,N2,True
dBCZOlI8Y5,N2,True
930jxe0uUO,N2,False
hjhkOQI3N5,N2,True
G7QXpKLDeZ,W,False
wgR86e7bhb,N1,True
ruYQ7SjSsO,W,True
76tBOydT0M,W,False
v3VH6A0MI9,W,False
LwHBiLd0jf,N2,False
4UvhOHSpWu,N2,True
70xutizZOM,N2,False
qggSJQLWDi,N2,False
wBt1ynuziP,N2,False
ti2R0343gS,N2,True
PAx1C6iXJF,N2,False
vup9epqQtS,R,False
hZYjch7nJP,R,True
Y3t2zWIxQc,W,False
MpryyhnJVP,N2,False
XzW3OmjO7x,N2,False
L9gyLLhfvi,W,True
wpB3igtiAw,R,False
MaDdrgJOyA,R,False
P0WKpC753l,R,False
oPxtYYY6Kd,R,False
5HEIMCafh8,W,False
kam14Yynz7,R,False
JJuRyuzTna,N2,False
jSihqZ2r4e,W,True
3A35rn7gK1,W,True
xVEb2IvW73,W,False
ijAZlxO6ko,N2,False
J8gltfoQFK,N2,True
BbiVBGEBFW,W,True
veymhpGtRL,W,True
zY7aZm8XbF,W,False
aoxlBTyqyh,W,True
NKqaxuMh8s,W,False
PSUPu4gRUi,W,False
DubcXtatB0,W,True
5dLxXlbqCw,W,False
0hloXhtS3R,W,True
sSf7YYeOqW,W,False
jn2oSTWC8B,N1,False
4Ak4rIGNA2,N2,False
MXIv1mZqGU,N3,True
kLE76MFpVi,N3,False
de3z7wiUT1,N3,False
iuNrzB9Pak,N3,False
qFdykY9RIx,N3,False
VAeK1psrLy,N3,False
9uaqpxs2LT,N3,False
k8g4TZ4c24,N3,True
n2xuSX8GsH,N3,False
jZ3ERBBLN2,N3,False
fFwByAgjzm,N3,True
CjZs8nQp03,N3,False
M9Cq1jSUrI,N3,True
b37wzYDgTa,N3,False
FzvV09QquS,N2,False
nKaisw2Lra,N2,True
KxOEtbTc0v,R,False
aJ5ujgOIcK,N2,False
m14ebep3f3,N2,False
t0f6RtorQK,N3,True
YrDgrCkOZ6,N3,False
2PYsugsU9y,N3,False
yV5qTrmzAb,R,False
yzFcuyvaZl,R,False
ut3WITEZxy,N2,False
eNOuqCSqAV,N2,False
0Ie0q8pDLO,W,False
Ahj7ksBBT2,W,True
1zLjKLn8qZ,N2,False
xYxwaKhFuh,R,False
6x8xS1j4HS,R,False
tRNtotxbE5,N2,False
66qeWuOMC2,W,False
5eUQXJs93J,N2,True
ai7BiFTre2,N2,False
YV53WbO4dJ,N3,False
sMH7iKuud5,N3,False
3XgoVKREWv,N3,True
tGObuil0AW,N2,False
QfnboRmkHk,R,True
5M4hkNrUk8,R,False
VNOkMLw4Yj,R,False
p4Xgh8p648,N2,False
hU0I3A7S0U,N2,False
DbBULeTuA0,N2,False
APonUXkK7e,N2,False
s59LJrllW3,N2,False
YTr70aXG26,N2,False
lxsH9M6Fx0,N2,True
M99Gus62ZB,N3,False
QUim1kT9PY,N3,False
ucpIaGpbXr,N2,False
y4JC4k9aJt,N2,False
Ov2dUd2SND,N2,False
kXt5NjK4t0,N1,True
PTDH4VdLHC,N2,False
nQTF6ArGlg,N3,True
s8q6x5FoBE,N3,False
HHrTrJxcIR,N2,False
d5FRp0Fd3v,N2,False
Jt2b9k7dLn,R,True
dXKLO52zhK,R,False
zorcxJxBj7,R,True
Ul8wFEFnH1,N2,False
8idQP9hNDQ,N2,False
3KXdHggJ5B,N3,True
5lYk5KizHl,N3,False
OP2kg2hltH,N3,False
CxUF3KyLRU,N3,False
QajiG9gapW,N3,True
ajJeePYptz,N2,True
Eb9HChudJD,N3,False
v4mf79MJug,N3,False
lZkyn220ch,N3,True
P5IExVIlWt,N3,True
LarS5gRu2m,R,True
KKJkiqLJiZ,R,True
GCUQYVxjwl,N2,True
6BeznSYMh5,W,False
HMZHBFnE2M,N2,False
1tmgcwYRLJ,N2,False
hhAASYti3q,N2,False
SXtJ69U5c6,N2,False
knTQMiTQq4,W,True
74i7BmuZHh,N2,False
43Vb7jjejD,N2,False
3QYOZ5orxZ,R,False
VT3v0rN3nT,R,True
z9WjjhEEZG,N2,True
RBwqXTJqLc,N3,False
8iPVZuOMKG,N3,False
a0pSLhiU6O,N3,False
jE2mAwREJw,N3,False
69pOB3Ac7p,N1,False
P0mOP4Fjfv,N2,False
tmMy7Hb4El,N2,True
iafFimwrDK,N2,False
4lGa60AJDn,R,False
DyCuzjlce1,R,False
PH712RLuqP,N2,False
L6Pv2tvltu,N2,False
5esjGAUo8O,N2,False
Mnp6Ixtxr9,N2,True
2hGjhMWcXl,N3,True
a0Tyq4WQHO,N3,False
S5cMMfq8Jv,N3,False
682BCBtNQv,N3,True
zACCrNlZM1,N1,False
7gzWLGryGv,N2,False
8A7lwtgf8U,R,False
UxkjsZCkvi,R,False
Ic6M2YgxHN,R,False
GGqW4oREn7,R,True
wuPEYFPf22,R,False
tvN1GM6xvg,R,False
sDO6KtqQmq,N2,False
RMDcAFrxer,N2,False
tgVKGRrAoF,N2,False
hkJgpz2gbr,N2,True
1MSUcYHYcp,N1,False
5Y7Wb5EPn7,N2,False
Ygu9jkt68e,R,False
6jgqU7z9T0,R,False
O3B12KKPj6,R,True
pwzQzcqGhV,R,True
rxcUpBigd0,W,True
QdgdwjNC9L,W,True
IArpBQQ0Jt,W,False
VphvhaaIzU,N2,True
dYe8GpPm59,N3,False
8jVWAzBMvx,W,True
WeSexXSY5b,N1,False
aGbGMV8JZ9,N1,False
Wd3sXm0QVf,N1,False
5KDOLyv9so,N3,False
D2L2VaPnGR,N3,True
TxAEy8rinB,N2,False
6ThccVpnY0,R,False
ydr5lDFqmW,R,True
2krhWMdjGu,R,True
1k3NveqgIV,R,False
ON0FJNCjLP,W,False
gwJmiO9Fbs,N3,False
G4mbmCwqth,N3,False
B5zEbqHzYf,N3,False
veIovc5DXJ,N2,False
UAOX0C1d9j,N2,False
02ncQySh8K,N2,True
PkKjSX1PGl,W,True
FLowE9cC7L,N3,True
dKI4wbnsq9,N3,False
mSjmNfFqj4,N3,False
twRTxEJtnO,N3,False
kE2KbwY8SJ,N3,False
vYVBMNYRQ3,N3,False
9H5aBJyfQg,N3,False
hfusl6YlaX,R,False
LoRXs9OH0Y,R,False
4efKh0HdIg,R,False
2h9QdHQu2K,N2,False
RZ7ptv3KAP,W,True
GrnweCaOU2,W,False
2w5Uw8WnP4,N2,False
HcbpQvbt5E,N2,True
PGVGyIBU6e,N3,True
zxDG5kApbq,N3,False
t4qQBPi1li,N3,True
Qv01cxDdvc,N3,False
9NyayxHMmn,R,True
U79MoyVND2,R,True
ZNeUr744ZZ,N2,False
MyMI9sks35,N2,False
mFvltadVvu,N2,False
kAL8XM65W8,N2,False
DicnypzfjD,N2,True
o6HhIgdtGs,N2,False
0qm0pCRZla,N2,False
cOYdZNiGaU,N2,False
jOUr29jokZ,N2,False
91BKBhDUey,N2,False
uocuXv2JcU,N2,True
zI9yNXbq1M,N2,True
K2bCu2d1n8,N2,False
lDhAlwJNZY,N2,False
uAEsfR0w8N,R,False
YbZWpLm97p,R,False
7za5a07v4T,R,False
3IqcrZdZ9k,R,False
jiY2wHbXoL,R,False
XE185SOQrt,W,True
XBnMBZbS9e,W,True
HxvXvvZ2k4,N3,False
YJBwiJOOvF,W,False
vBR43ouH77,N2,False
gqhtIzYCm6,N2,False
2hoMbIAeQD,R,False
TZl9FlUV6d,N2,False
RLOsB4nKrG,N3,True
XtYZls0xyr,N2,False
DhZDMiEltN,N2,False
O1IoGUzswc,W,False
51jYQpgpiy,N3,False
KkpinTcsE2,N3,False
dK2LnOHNfs,N3,False
gek4883XWg,W,True
7yrADjtgCo,N1,False
4X0ACTBnug,W,False
xkcAHiMQdd,R,False
ruaEfZDA8b,N2,False
yZZod6Fdpi,N3,False
AyoOKLOvKR,N3,False
2pj5Wvy7Pu,R,False
BouBHZ1R0s,N1,False
xM9MdgjGly,W,True
70ivZw8CE2,N2,True
EKSs4tTEeD,N2,True
oDOv5Uo2vv,N3,True
ioUGg5euJN,W,True
OjY8pl28DU,R,True
DZSmecQwTd,R,True
NPcTSqGUUS,W,True
OtLeBcLkzW,N1,True
zIwoypybZo,W,False
cOnzly0Ol3,N2,False
CVeFcRyDxa,N3,False
GSF2GlzikU,W,False
6XA9flFC7Q,W,False
ZA92CWT1It,W,False
W5eZBy3OpA,W,False
wFpEgNAB9R,N3,False
q0N2gTVN8V,R,False
WnLcKtsz2P,W,False
XqxSIs4C3E,W,False
nqsCd8yR7Q,W,False
F0yRuhp6ml,W,True
zQo9J0ou2K,W,True
TG6cTOcRUe,N2,False
xHnvwJ0MFh,N2,False
HD5QRvQ6O7,N3,False
LZXWvUVqzz,W,False
jnVeRM2kcl,W,True
nHJ1ZSiygx,W,False
WsYOJz8n8D,W,True
hRLn3ZXKpc,W,True
5Pv6prESKN,W,True
6XDnCorES2,W,True
3gNuxp5rDQ,W,True
KxBcenawNe,W,True
2zS6CTVrUe,W,False
ydJjooQHcC,R,False
bCnaGNW5AH,R,False
2b0R4z9k52,N2,False
KhUKyjecme,N3,False
x3Ql6VbHN9,N1,True
P7iksPlUHL,N3,False
ATOt8jf6Mh,N1,False
logdp4E4w2,N3,False
14XwRIF3jf,N3,False
HYROezkPvn,N3,False
Wjn4yrxVhp,N3,False
Q1JWX3H8a2,N3,False
htnptLzNIa,W,False
dzVCMHZKU8,N1,False
V9CrufMrRB,N2,False
TG5WtZO4Ea,N2,False
qusXnXn36b,N3,True
slnf9iaa4g,N3,True
qoTlpHV3m4,N3,True
EkqrgKuMGC,N3,False
zmcv6MfsuQ,W,True
FYtfd0vpSl,W,False
vIiB2c6vDT,W,True
s9O7i3gwhS,N1,False
vfYiafDGMt,R,True
XHrnVik3zk,W,False
TCojqISEMP,N2,True
r6pSBciaXQ,W,True
AlhjfXLEWl,N1,False
O4YvsL4NIm,N2,False
0aZvGzHHf6,N2,False
8I2eQWKrPJ,W,True
Wy9Q7gMAWV,N2,False
WmXmU6Al1b,W,True
x3FUG8Hhgv,N2,False
pNwC0A09Ix,W,False
8uFqOnjdnz,N2,True
m5EVGYbHeX,N2,False
GU1qpvTNt8,W,False
k6uZWprbJn,W,False
hsMDOg6fGS,W,False
kgfeFmpbI2,W,False
6AtUp5ZTXV,N2,False
ms1J1hpPW2,W,False
UHLnLK2azk,N2,False
eKppQMYM2Q,N2,False
9ajo0X1xe7,N2,False
1lLnHShhPW,N2,False
afQ4CUSwIx,N1,True
eIoe1Ru5IT,N2,False
h6ZElrtlP8,W,False
yGKOu96gnD,W,False
FmfPH1V48B,R,False
wuWU7350WJ,N2,False
vUlR8FhK68,W,False
d0OVXioB7x,R,False
VoAbm6Jx8t,R,False
bp5LM0ghiy,R,True
LpJSBRfQtg,N2,False
HIP2YDvttP,W,False
tC3a2lJo8O,W,False
LKX4zLYsbe,W,False
3V7ri0avuX,W,False
jLFBFKnhfl,W,False
VglZkwNlHn,W,False
Ck0XUQW7nL,W,False
ee51HuXydl,W,False
iIJv1fwbLw,N2,False
tI7LCotfBt,N3,False
XbUrG9z3Qx,N3,False
rwrGwsnNMq,N3,True
gaxHu6YcsX,N3,True
qW9vCzHCeb,N3,True
I7rP89pPm9,N2,False
JamC6nlOHV,N1,False
2Rurqhnpht,N2,False
3EIUdoTiiD,N2,False
jYAgV0cGG8,W,False
sQRVzZOqOi,N2,False
S8goHo70Qa,N1,False
Rqj82p0K05,N3,True
6bLWEoVLHN,N3,False
4EryMaA8W6,N3,False
mRmK4gYkSV,W,True
1BAwhoWCeS,N2,True
HP3KTrDDip,N2,True
Hbrbm1rNSq,N2,False
kI5OmxOl5o,N2,False
JqNBJlySLS,N2,False
YO6Els8brA,R,False
o4YAgaFbnl,R,False
vdYePLmcCZ,R,True
D7PVBQGpmf,W,False
UhyPOeecmv,W,False
wZZzFg5JwX,W,False
iGEK35hpD6,W,False
FatYOqSQM1,W,True
XrBqrkCIA2,N2,True
FkdffinQtH,N3,False
W0UipRqQWq,N3,False
xiQcxeIFL8,N3,False
1wdGW7WPk4,N3,False
Bxu1nqIOkr,R,False
z4Den08Wtu,R,True
dvReTg0wR8,R,False
iGJfSSJm5Y,N2,False
NuVYJqbRcf,N2,False
ncJugZS6Bk,N2,False
oq9Tzy56Mq,N2,False
PTdNl0kbwh,N2,False
3PHlRlLKKF,N2,False
EiGqo3y7V7,N2,True
Pk1LKhLi5v,N2,False
DZQ2BqDNXd,N2,True
9s5eGm9lKn,N2,False
Sm9EvrEWBO,N2,False
6mDqjWLewk,N2,True
qhhOH0wC7Z,N1,True
VPszkq0iCG,R,False
hqJI073P5U,R,True
xoq7N4wCFj,R,True
1Ghb4pgfOT,W,False
EtOM6MHBi3,N1,False
3VluK71rop,N2,False
HNZjG9AbJm,N3,False
rbXZAzQbM7,N3,False
TCyHQrhezT,N3,False
x6tLdVWjqo,N3,False
QZrOPrfkYG,N3,True
jPo5yehlid,N3,True
QrCFYdesoX,N2,True
fHX5YgKtvk,N2,False
Yj5Ixc2Nft,N2,True
03ecDGpGjT,N2,True
sEPvT6rTfx,N2,False
XDS0QrNJLU,N3,False
zlaot5snGW,N3,True
olL5WUe2Mh,N3,True
FGTSzHpMpT,N3,False
YeYoedhuup,N3,False
MIYwX6sYuh,N3,False
miguPnxSuP,N2,True
1jXE641hzl,R,False
ux5TK9ZYJ3,R,False
Y4wZ7snF5j,R,False
6iB6xrKYVw,N2,False
kNpr44ZWZI,N2,True
SX6ACDozAE,N2,True
YKbOF0mrzp,N2,False
TZZ5E9o9sH,N2,False
DAde5lt5q4,N2,False
6wZKGVqFFu,N2,True
UjaKXmKwCt,N2,False
tCACagASvG,N2,True
HCdGeGdNaV,R,False
wuBdWXizCo,R,False
YvBAmuWFde,R,False
JwxuPs1CUT,R,True
Na003wBsmC,N2,False
zgkue1wMV2,N2,False
2yEA1D4kfy,N2,False
jaLndnqrmC,N1,False
jVG8zAF3Xx,N2,False
QQuIR7hzCh,N2,True
nffzcWgVRm,N1,False
po95z4YhVR,N2,False
z8MLtKXXQp,N2,False
9Ff5TlqHXp,N1,True
pVPt5MahCu,W,False
rNKy2kqWcY,R,False
GLjskLXguE,R,False
o1ZuFmwf3j,N1,False
9JxjRF8wuu,R,True
FvDJrF8kkL,R,True
ZOJLRYxUS9,R,False
omo2LRD9ZD,N2,False
UhQP0DMZW0,N2,False
4VezSWN20j,W,False
mt9KctZymR,W,True
XeSly7TA2M,W,False
Dcu4ydjgPM,N1,False
WkRc3vwLtf,N1,True
hqU6ZjULhd,N2,False
sD5K6BlU5V,N3,False
p1oeTq6ncA,N3,False
UIN8LLbVZq,N3,False
4IQt3KbJAU,N3,False
je0vaJDrzj,N3,True
hSpa5KhA2Y,N3,True
wefgYER1vS,N3,False
YMJkkwWHL7,N3,True
1IfLnLFU4v,N2,True
yPlHqeBi2P,N2,False
cG4VVTmOnZ,N2,True
wOqaMxPOVI,N3,False
Dx5AoBfAYW,N3,False
JsjwBYzR3A,N3,False
5ny2NKhOGS,N3,False
W1f94uNuqw,N3,False
u1C7V0scdT,N3,False
qyvN2uf7Pu,N3,True
6PvQuxuBQO,R,False
SQLr1ImooW,N3,False
nfkKN5VIhc,N3,True
Rk7cl9FsRl,N2,False
yys23HjbOz,N2,True
HXhX0CdAhg,N3,False
E90gNrDGYm,N3,False
U9ExhlKHuG,R,False
nA8FmqNm1d,R,True
AbSMVg1f7c,R,False
EKSChlBJUQ,N2,False
9nFYqyfC8b,N3,False
cMEAmi2tlD,N3,True
BMLMbRBoiT,N3,True
R0Z4a9mPiR,N2,False
pzrzrzjbnq,R,False
kIQqKh7uLm,R,False
IIkPJWZB2s,R,True
m5pAopFHf7,R,False
V6bDKQFPBe,R,False
bXWxfpyLxQ,N3,False
cWJGhln7dO,N3,False
jmtiiQDx7v,N2,False
69kBezyMj6,N2,False
r5waz2DbvV,R,True
uRJoOAEHDm,R,False
NM9KpppsE7,R,False
5oyLRTGLd7,N2,False
1gGDGkGVBf,N2,False
Gfzf5Fj6Xz,N2,True
VypC8KBs9N,N2,False
GX2VhG44De,N2,False
kXI0iSVEfX,N2,True
HESGTqoq4G,R,False
GZ5MPxzl16,R,True
PlOpAb9Uf2,R,False
po5VogGAbG,R,False
GbYC7hUKvh,W,False
fBeMYmo5cg,W,False
VdKpMJl2by,W,False
Er4m05RqPT,W,False
axsqVk11Bz,W,False
UbJpBTg79m,N1,False
w2FCxbDZJL,N1,False
PhqdflTF99,N2,False
i9ZhePYdap,N2,False
hYL0X9UbRM,N2,True
aIuRVj6Ap5,N2,False
dFWrvX7qC2,N3,False
K6eaTF2mo5,N3,False
psho0jFkMf,N3,True
v6nN0nRwxP,N2,True
cyAi7itrwT,N2,True
FmauMcXehu,N2,False
UnKUf92edV,N2,False
DbYjPjWvU2,R,False
SDNRE1C4Jp,R,True
qPRiNw7I14,N1,False
v3lUgJXlNS,N2,False
Xid6o6tuX6,N2,False
rbMgYukMMB,N2,False
79wcCpEIqO,N3,True
dBMikWFni0,N2,False
3bfxTykn2L,N2,True
nWkNbs2d1B,W,True
krrJ2JMdCL,N2,False
11WVx4tTdg,N2,False
VIwPlHdRiR,N2,True
IlVESEGFw7,N1,False
WKVRz136Dr,W,True
L3IqoRdWVA,W,False
kIRBQxvR2T,N1,False
VmdHnLMVGM,R,True
S5l1coAukq,W,False
a7JentvHaa,N2,False
ZXETD1ush7,N2,False
TOtLuZKEX0,N1,False
1cjGkKqHYI,N2,True
ToxnjTckJK,N2,False
GxcGGgA9ex,N1,False
wn4HBXVnb5,N1,False
VlNB6Ju0lw,N1,False
KKNgcXKP43,N2,True
y9t1a2Kznl,W,True
gGODxdr7TB,R,True
PhACx0a37r,R,False
mZkiiymAnE,N1,True
rxZOoJJwt5,N2,False
B8AbbgQTqx,N2,False
6gZuGNCPUW,R,False
u7fdaDmpwN,R,False
